timestamp,x,y,z,theta
1700000000.000000,-4.500000,-4.500000,0.000000,0.000000
1700000000.100000,-4.275000,-4.500000,0.000000,0.000000
1700000000.200000,-4.050000,-4.500000,0.000000,0.000000
1700000000.300000,-3.825000,-4.500000,0.000000,0.000000
1700000000.400000,-3.600000,-4.500000,0.000000,0.000000
1700000000.500000,-3.375000,-4.500000,0.000000,0.000000
1700000000.600000,-3.150000,-4.500000,0.000000,0.000000
1700000000.700000,-2.925000,-4.500000,0.000000,0.000000
1700000000.800000,-2.700000,-4.500000,0.000000,0.000000
1700000000.900000,-2.475000,-4.500000,0.000000,0.000000
1700000001.000000,-2.250000,-4.500000,0.000000,0.000000
1700000001.100000,-2.025000,-4.500000,0.000000,0.000000
1700000001.200000,-1.800000,-4.500000,0.000000,0.000000
1700000001.300000,-1.575000,-4.500000,0.000000,0.000000
1700000001.400000,-1.350000,-4.500000,0.000000,0.000000
1700000001.500000,-1.125000,-4.500000,0.000000,0.000000
1700000001.600000,-0.900000,-4.500000,0.000000,0.000000
1700000001.700000,-0.675000,-4.500000,0.000000,0.000000
1700000001.800000,-0.450000,-4.500000,0.000000,0.000000
1700000001.900000,-0.225000,-4.500000,0.000000,0.000000
1700000002.000000,0.000000,-4.500000,0.000000,0.000000
1700000002.100000,0.225000,-4.500000,0.000000,0.000000
1700000002.200000,0.450000,-4.500000,0.000000,0.000000
1700000002.300000,0.675000,-4.500000,0.000000,0.000000
1700000002.400000,0.900000,-4.500000,0.000000,0.000000
1700000002.500000,1.125000,-4.500000,0.000000,0.000000
1700000002.600000,1.350000,-4.500000,0.000000,0.000000
1700000002.700000,1.575000,-4.500000,0.000000,0.000000
1700000002.800000,1.800000,-4.500000,0.000000,0.000000
1700000002.900000,2.025000,-4.500000,0.000000,0.000000
1700000003.000000,2.250000,-4.500000,0.000000,0.000000
1700000003.100000,2.475000,-4.500000,0.000000,0.000000
1700000003.200000,2.700000,-4.500000,0.000000,0.000000
1700000003.300000,2.925000,-4.500000,0.000000,0.000000
1700000003.400000,3.150000,-4.500000,0.000000,0.000000
1700000003.500000,3.375000,-4.500000,0.000000,0.000000
1700000003.600000,3.600000,-4.500000,0.000000,0.000000
1700000003.700000,3.825000,-4.500000,0.000000,0.000000
1700000003.800000,4.050000,-4.500000,0.000000,0.000000
1700000003.900000,4.275000,-4.500000,0.000000,0.000000
1700000004.000000,4.500000,-4.500000,0.000000,1.570796
1700000004.100000,4.500000,-4.275000,0.000000,1.570796
1700000004.200000,4.500000,-4.050000,0.000000,1.570796
1700000004.300000,4.500000,-3.825000,0.000000,1.570796
1700000004.400000,4.500000,-3.600000,0.000000,1.570796
1700000004.500000,4.500000,-3.375000,0.000000,1.570796
1700000004.600000,4.500000,-3.150000,0.000000,1.570796
1700000004.700000,4.500000,-2.925000,0.000000,1.570796
1700000004.800000,4.500000,-2.700000,0.000000,1.570796
1700000004.900000,4.500000,-2.475000,0.000000,1.570796
1700000005.000000,4.500000,-2.250000,0.000000,1.570796
1700000005.100000,4.500000,-2.025000,0.000000,1.570796
1700000005.200000,4.500000,-1.800000,0.000000,1.570796
1700000005.300000,4.500000,-1.575000,0.000000,1.570796
1700000005.400000,4.500000,-1.350000,0.000000,1.570796
1700000005.500000,4.500000,-1.125000,0.000000,1.570796
1700000005.600000,4.500000,-0.900000,0.000000,1.570796
1700000005.700000,4.500000,-0.675000,0.000000,1.570796
1700000005.800000,4.500000,-0.450000,0.000000,1.570796
1700000005.900000,4.500000,-0.225000,0.000000,1.570796
1700000006.000000,4.500000,0.000000,0.000000,1.570796
1700000006.100000,4.500000,0.225000,0.000000,1.570796
1700000006.200000,4.500000,0.450000,0.000000,1.570796
1700000006.300000,4.500000,0.675000,0.000000,1.570796
1700000006.400000,4.500000,0.900000,0.000000,1.570796
1700000006.500000,4.500000,1.125000,0.000000,1.570796
1700000006.600000,4.500000,1.350000,0.000000,1.570796
1700000006.700000,4.500000,1.575000,0.000000,1.570796
1700000006.800000,4.500000,1.800000,0.000000,1.570796
1700000006.900000,4.500000,2.025000,0.000000,1.570796
1700000007.000000,4.500000,2.250000,0.000000,1.570796
1700000007.100000,4.500000,2.475000,0.000000,1.570796
1700000007.200000,4.500000,2.700000,0.000000,1.570796
1700000007.300000,4.500000,2.925000,0.000000,1.570796
1700000007.400000,4.500000,3.150000,0.000000,1.570796
1700000007.500000,4.500000,3.375000,0.000000,1.570796
1700000007.600000,4.500000,3.600000,0.000000,1.570796
1700000007.700000,4.500000,3.825000,0.000000,1.570796
1700000007.800000,4.500000,4.050000,0.000000,1.570796
1700000007.900000,4.500000,4.275000,0.000000,1.570796
1700000008.000000,4.500000,4.500000,0.000000,3.141593
1700000008.100000,4.275000,4.500000,0.000000,3.141593
1700000008.200000,4.050000,4.500000,0.000000,3.141593
1700000008.300000,3.825000,4.500000,0.000000,3.141593
1700000008.400000,3.600000,4.500000,0.000000,3.141593
1700000008.500000,3.375000,4.500000,0.000000,3.141593
1700000008.600000,3.150000,4.500000,0.000000,3.141593
1700000008.700000,2.925000,4.500000,0.000000,3.141593
1700000008.800000,2.700000,4.500000,0.000000,3.141593
1700000008.900000,2.475000,4.500000,0.000000,3.141593
1700000009.000000,2.250000,4.500000,0.000000,3.141593
1700000009.100000,2.025000,4.500000,0.000000,3.141593
1700000009.200000,1.800000,4.500000,0.000000,3.141593
1700000009.300000,1.575000,4.500000,0.000000,3.141593
1700000009.400000,1.350000,4.500000,0.000000,3.141593
1700000009.500000,1.125000,4.500000,0.000000,3.141593
1700000009.600000,0.900000,4.500000,0.000000,3.141593
1700000009.700000,0.675000,4.500000,0.000000,3.141593
1700000009.800000,0.450000,4.500000,0.000000,3.141593
1700000009.900000,0.225000,4.500000,0.000000,3.141593
1700000010.000000,0.000000,4.500000,0.000000,3.141593
1700000010.100000,-0.225000,4.500000,0.000000,3.141593
1700000010.200000,-0.450000,4.500000,0.000000,3.141593
1700000010.300000,-0.675000,4.500000,0.000000,3.141593
1700000010.400000,-0.900000,4.500000,0.000000,3.141593
1700000010.500000,-1.125000,4.500000,0.000000,3.141593
1700000010.600000,-1.350000,4.500000,0.000000,3.141593
1700000010.700000,-1.575000,4.500000,0.000000,3.141593
1700000010.800000,-1.800000,4.500000,0.000000,3.141593
1700000010.900000,-2.025000,4.500000,0.000000,3.141593
1700000011.000000,-2.250000,4.500000,0.000000,3.141593
1700000011.100000,-2.475000,4.500000,0.000000,3.141593
1700000011.200000,-2.700000,4.500000,0.000000,3.141593
1700000011.300000,-2.925000,4.500000,0.000000,3.141593
1700000011.400000,-3.150000,4.500000,0.000000,3.141593
1700000011.500000,-3.375000,4.500000,0.000000,3.141593
1700000011.600000,-3.600000,4.500000,0.000000,3.141593
1700000011.700000,-3.825000,4.500000,0.000000,3.141593
1700000011.800000,-4.050000,4.500000,0.000000,3.141593
1700000011.900000,-4.275000,4.500000,0.000000,3.141593
1700000012.000000,-4.500000,4.500000,0.000000,-1.570796
1700000012.100000,-4.500000,4.275000,0.000000,-1.570796
1700000012.200000,-4.500000,4.050000,0.000000,-1.570796
1700000012.300000,-4.500000,3.825000,0.000000,-1.570796
1700000012.400000,-4.500000,3.600000,0.000000,-1.570796
1700000012.500000,-4.500000,3.375000,0.000000,-1.570796
1700000012.600000,-4.500000,3.150000,0.000000,-1.570796
1700000012.700000,-4.500000,2.925000,0.000000,-1.570796
1700000012.800000,-4.500000,2.700000,0.000000,-1.570796
1700000012.900000,-4.500000,2.475000,0.000000,-1.570796
1700000013.000000,-4.500000,2.250000,0.000000,-1.570796
1700000013.100000,-4.500000,2.025000,0.000000,-1.570796
1700000013.200000,-4.500000,1.800000,0.000000,-1.570796
1700000013.300000,-4.500000,1.575000,0.000000,-1.570796
1700000013.400000,-4.500000,1.350000,0.000000,-1.570796
1700000013.500000,-4.500000,1.125000,0.000000,-1.570796
1700000013.600000,-4.500000,0.900000,0.000000,-1.570796
1700000013.700000,-4.500000,0.675000,0.000000,-1.570796
1700000013.800000,-4.500000,0.450000,0.000000,-1.570796
1700000013.900000,-4.500000,0.225000,0.000000,-1.570796
1700000014.000000,-4.500000,0.000000,0.000000,-1.570796
1700000014.100000,-4.500000,-0.225000,0.000000,-1.570796
1700000014.200000,-4.500000,-0.450000,0.000000,-1.570796
1700000014.300000,-4.500000,-0.675000,0.000000,-1.570796
1700000014.400000,-4.500000,-0.900000,0.000000,-1.570796
1700000014.500000,-4.500000,-1.125000,0.000000,-1.570796
1700000014.600000,-4.500000,-1.350000,0.000000,-1.570796
1700000014.700000,-4.500000,-1.575000,0.000000,-1.570796
1700000014.800000,-4.500000,-1.800000,0.000000,-1.570796
1700000014.900000,-4.500000,-2.025000,0.000000,-1.570796
1700000015.000000,-4.500000,-2.250000,0.000000,-1.570796
1700000015.100000,-4.500000,-2.475000,0.000000,-1.570796
1700000015.200000,-4.500000,-2.700000,0.000000,-1.570796
1700000015.300000,-4.500000,-2.925000,0.000000,-1.570796
1700000015.400000,-4.500000,-3.150000,0.000000,-1.570796
1700000015.500000,-4.500000,-3.375000,0.000000,-1.570796
1700000015.600000,-4.500000,-3.600000,0.000000,-1.570796
1700000015.700000,-4.500000,-3.825000,0.000000,-1.570796
1700000015.800000,-4.500000,-4.050000,0.000000,-1.570796
1700000015.900000,-4.500000,-4.275000,0.000000,-1.570796
